Line no.		Token no.		 Token		 Lexeme

      0		      1		Identifier		include

      0		      2		Identifier		  stdio

      0		      3		Identifier		      h

      1		      4		Keyword		    int

      1		      5		Keyword		   main

      1		      6		Special Symbol		      )

      1		      7		Special Symbol		      {

      2		      8		Identifier		 printf

      2		      9		Identifier		  Hello

      2		     10		Identifier		  World

      2		     11		Special Symbol		      )

      2		     12		Special Symbol		      ;

      3		     13		Keyword		     if

      3		     14		Identifier		    age

      3		     15		Digit		      1

      3		     16		Digit		      8

      3		     17		Special Symbol		      )

      3		     18		Identifier		 printf

      3		     19		Identifier		    Yes

      3		     20		Special Symbol		      )

      3		     21		Special Symbol		      ;

      4		     22		Keyword		   else

      4		     23		Identifier		 printf

      4		     24		Identifier		     No

      4		     25		Special Symbol		      )

      4		     26		Special Symbol		      ;

      5		     27		Identifier		 return

      5		     28		Digit		      0

      5		     29		Special Symbol		      ;

      6		     30		Special Symbol		      }

